GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E39000039,NHS England North (Cumbria and North East),,,ODS Organisation Changes,01/04/2017,31/03/2019,E40000001,E39,ODS,terminated,1381235.72,1363498.13,5412.11,1358086.02
E39000040,NHS England North West (Lancashire and South Cumbria),,,Name Change,01/04/2019,,E40000010,E39,ODS,live,,,,
E39000040,NHS England North (Lancashire and South Cumbria),,,ODS Organisation Changes,01/04/2017,31/03/2019,E40000001,E39,ODS,terminated,544535.4,499386.27,2074.67,497311.6
E39000041,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",,,,01/04/2018,,E40000005,E39,ODS,live,973692.28,963569.13,294.13,963275
E39000042,"NHS England South East (Kent, Surrey and Sussex)",,,,01/04/2018,,E40000005,E39,ODS,live,927756.9,905125.57,1280.67,903844.9
E39000043,NHS England South West (South West North),,,,01/04/2018,,E40000006,E39,ODS,live,773421.39,750103.13,613.24,749489.89
E39000044,NHS England South West (South West South),,,,01/04/2018,,E40000006,E39,ODS,live,1668804.11,1638052.57,789.34,1637263.23
E39000045,NHS England Midlands (Central Midlands),,,ODS Organisation Changes,01/04/2019,,E40000008,E39,ODS,live,,,,
E39000046,NHS England East of England (East),,,ODS Organisation Changes,01/04/2019,,E40000007,E39,ODS,live,,,,
E39000047,NHS England North East and Yorkshire (Cumbria and North East),,,ODS Organisation Changes,01/04/2019,,E40000009,E39,ODS,live,,,,
E39000048,NHS England North East and Yorkshire (Yorkshire and Humber),,,ODS Organisation Changes,01/04/2019,,E40000009,E39,ODS,live,,,,
